Recipe Name,Ingredient Name,Quantity,Unit
Caesar Pasta Salad,Caesar Dressing,0.5,cup
Caesar Pasta Salad,Cherry Tomatoes,1.0,cup
Caesar Pasta Salad,Parmesan Cheese,1.0,ounce
Baked Potato,Potatoes,4.0,medium
Baked Potato,Butter,2.0,tablespoons
Baked Potato,Sour Cream,2.0,tablespoons
Baked Potato,Chives (optional),0.0,To taste
Tabbouleh,Bulgur Wheat,1.0,cup
Tabbouleh,Parsley,1.0,bunch
Tabbouleh,Tomato,1.0,piece
Tabbouleh,Cucumber,0.5,piece
Tabbouleh,Onion,0.5,piece
Tabbouleh,Lemon Juice,2.0,tablespoons
Tabbouleh,Olive Oil,2.0,tablespoons
Tabbouleh,Salt,0.0,To taste
Tabbouleh,Pepper,0.0,To taste
Deviled Eggs,Eggs,6.0,pieces
Deviled Eggs,Mayonnaise,0.25,cup
Deviled Eggs,Mustard,1.0,tablespoon
Deviled Eggs,Paprika,0.0,To taste
Greek Yogurt Parfait,Greek Yogurt,1.0,cup
Greek Yogurt Parfait,Granola,0.5,cup
Greek Yogurt Parfait,Mixed Berries,1.0,cup
Greek Yogurt Parfait,Honey (optional),0.0,To taste
Tacos,Tortillas,2.0,pieces
Tacos,Ground Beef/Chicken,0.5,pound
Tacos,Lettuce,1.0,head
Tacos,Tomato,1.0,piece
Tacos,Cheese,0.5,cup
Tacos,Salsa,0.5,cup
Tacos,Sour Cream,0.25,cup
Spinach Salad,Baby Spinach,4.0,cups
Spinach Salad,Mushrooms,0.5,cup
Spinach Salad,Boiled Eggs,2.0,pieces
Spinach Salad,Bacon Bits,0.25,cup
Spinach Salad,Red Onion,0.25,cup
Spinach Salad,Balsamic Vinaigrette,0.5,cup
Vegetable Stir-Fry,Mixed Vegetables ,4.0,cups
Vegetable Stir-Fry,Soy Sauce,3.0,tablespoons
Vegetable Stir-Fry,Garlic,2.0,cloves
Vegetable Stir-Fry,Ginger,1.0,tablespoon
Vegetable Stir-Fry,Oil,2.0,tablespoons
Cheese Quesadilla,Tortillas,2.0,pieces
Cheese Quesadilla,Cheese,1.0,cup
Tomato Soup,Tomatoes,4.0,pieces
Tomato Soup,Onion,1.0,piece
Tomato Soup,Garlic,2.0,cloves
Tomato Soup,Vegetable Broth,2.0,cups
Tomato Soup,Cream (optional),0.5,cup
Tomato Soup,Salt,0.0,To taste
Tomato Soup,Pepper,0.0,To taste
